RULEID	LOGICALDESCRIPTION
CPIC_CYP2C19_ultrarapid_metabolizer_phenotype	(has exactly 2 CYP2C19_star_17) or ((has some CYP2C19_star_17) and (has some CYP2C19_star_1))
CPIC_CYP2C19_extensive_metabolizer_phenotype	has exactly 2 CYP2C19_star_1
CPIC_CYP2C19_intermediate_metabolizer_phenotype	(has some CYP2C19_star_1) and (has some (CYP2C19_star_2 or CYP2C19_star_3 or CYP2C19_star_4 or CYP2C19_star_5 or CYP2C19_star_6 or CYP2C19_star_7 or CYP2C19_star_8))
CPIC_CYP2C19_poor_metabolizer_phenotype	has exactly 2 (CYP2C19_star_2 or CYP2C19_star_3 or CYP2C19_star_4 or CYP2C19_star_5 or CYP2C19_star_6 or CYP2C19_star_7 or CYP2C19_star_8)
CPIC_CYP2D6_ultrarapid_metabolizer_phenotype	has min 3 (CYP2D6_star_1 or CYP2D6_star_2 or CYP2D6_star_27 or CYP2D6_star_33 or CYP2D6_star_35 or CYP2D6_star_45 or CYP2D6_star_46 or CYP2D6_star_39 or CYP2D6_star_48 or CYP2D6_star_53)
CPIC_CYP2D6_extensive_metabolizer_phenotype	(has exactly 2 (CYP2D6_star_1 or CYP2D6_star_2 or CYP2D6_star_27 or CYP2D6_star_33 or CYP2D6_star_35 or CYP2D6_star_45 or CYP2D6_star_46 or CYP2D6_star_39 or CYP2D6_star_48 or CYP2D6_star_53 or CYP2D6_star_9 or CYP2D6_star_10 or CYP2D6_star_17 or CYP2D6_star_29 or CYP2D6_star_41 or CYP2D6_star_49 or CYP2D6_star_50 or CYP2D6_star_54 or CYP2D6_star_55 or CYP2D6_star_59 or CYP2D6_star_69 or CYP2D6_star_72)) or ((has some (CYP2D6_star_1 or CYP2D6_star_2 or CYP2D6_star_27 or CYP2D6_star_33 or CYP2D6_star_35 or CYP2D6_star_45 or CYP2D6_star_46 or CYP2D6_star_39 or CYP2D6_star_48 or CYP2D6_star_53)) and  (has some (CYP2D6_star_3 or CYP2D6_star_4 or CYP2D6_star_5 or CYP2D6_star_6 or CYP2D6_star_7 or CYP2D6_star_8 or CYP2D6_star_11 or CYP2D6_star_12 or CYP2D6_star_13 or CYP2D6_star_14 or CYP2D6_star_15 or CYP2D6_star_16 or CYP2D6_star_18 or CYP2D6_star_19 or CYP2D6_star_20 or CYP2D6_star_21 or CYP2D6_star_31 or CYP2D6_star_36 or CYP2D6_star_38 or CYP2D6_star_40 or CYP2D6_star_42 or CYP2D6_star_44 or CYP2D6_star_47 or CYP2D6_star_51 or CYP2D6_star_56 or CYP2D6_star_57 or CYP2D6_star_62)))
CPIC_CYP2D6_intermediate_metabolizer_phenotype	has some (CYP2D6_star_9 or CYP2D6_star_10 or CYP2D6_star_17 or CYP2D6_star_29 or CYP2D6_star_41 or CYP2D6_star_49 or CYP2D6_star_50 or CYP2D6_star_54 or CYP2D6_star_55 or CYP2D6_star_59 or CYP2D6_star_69 or CYP2D6_star_72) and has some (CYP2D6_star_3 or CYP2D6_star_4 or CYP2D6_star_5 or CYP2D6_star_6 or CYP2D6_star_7 or CYP2D6_star_8 or CYP2D6_star_11 or CYP2D6_star_12 or CYP2D6_star_13 or CYP2D6_star_14 or CYP2D6_star_15 or CYP2D6_star_16 or CYP2D6_star_18 or CYP2D6_star_19 or CYP2D6_star_20 or CYP2D6_star_21 or CYP2D6_star_31 or CYP2D6_star_36 or CYP2D6_star_38 or CYP2D6_star_40 or CYP2D6_star_42 or CYP2D6_star_44 or CYP2D6_star_47 or CYP2D6_star_51 or CYP2D6_star_56 or CYP2D6_star_57 or CYP2D6_star_62)
CPIC_CYP2D6_poor_metabolizer_phenotype	has exactly 2 (CYP2D6_star_3 or CYP2D6_star_4 or CYP2D6_star_5 or CYP2D6_star_6 or CYP2D6_star_7 or CYP2D6_star_8 or CYP2D6_star_11 or CYP2D6_star_12 or CYP2D6_star_13 or CYP2D6_star_14 or CYP2D6_star_15 or CYP2D6_star_16 or CYP2D6_star_18 or CYP2D6_star_19 or CYP2D6_star_20 or CYP2D6_star_21 or CYP2D6_star_31 or CYP2D6_star_36 or CYP2D6_star_38 or CYP2D6_star_40 or CYP2D6_star_42 or CYP2D6_star_44 or CYP2D6_star_47 or CYP2D6_star_51 or CYP2D6_star_56 or CYP2D6_star_57 or CYP2D6_star_62)
DPWG_CYP2C19_intermediate_metabolizer_phenotype	has some (CYP2C19_star_1 or CYP2C19_star_17) and has some (CYP2C19_star_2 or CYP2C19_star_3)
DPWG_CYP2C19_poor_metabolizer_phenotype	has exactly 2 (CYP2C19_star_2 or CYP2C19_star_3)
